       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          72.64160016          23.16879686       58869.72709875       58892.89589561
     200          72.64160016          23.16879686    12140258.80412213    12140281.97291899
     300          72.64160016          23.16879686    21038560.07309157    21038583.24188843
     400          72.64160016          23.16879686    89237577.67351967    89237600.84231654
     500          72.64160016          23.16879686   667612448.34305644   667612471.51185334
     600          72.64160016          23.16879686  172272456572.34072876  172272456595.50952148
     700          72.64160016          23.16879686   555608648.37100315   555608671.53980005
     800          72.64160016          23.16879686  614248371888.42712402  614248371911.59594727
     900          72.64160016          23.16879686  117647045224.05043030  117647045247.21922302
    1000          72.64160016          23.16879686  1799204136.30730724  1799204159.47610402
    1100          72.64160016          23.16879686  3736446585.98220539  3736446609.15100241
    1200          72.64160016          23.16879686   335669255.79387093   335669278.96266776
    1300          72.64160016          23.16879686   184159271.36661959   184159294.53541645
    1400          72.64160016          23.16879686  1245795703.44681025  1245795726.61560702
    1500          72.64160016          23.16879686  5191284110.52503586  5191284133.69383240
    1600          72.64160016          23.16879686  3179340781997.08642578  3179340782020.25537109
    1700          72.64160016          23.16879686  30234708771.97949219  30234708795.14828873
    1800          72.64160016          23.16879686  24108588537.09771729  24108588560.26651382
    1900          72.64160016          23.16879686  7187500638.66316223  7187500661.83195877
    2000          72.64160016          23.16879686  2357509839.29836750  2357509862.46716452
    2100          72.64160016          23.16879686  32687294953592.87500000  32687294953616.04296875
    2200          72.64160016          23.16879686  3872470328.53693771  3872470351.70573473
    2300          72.64160016          23.16879686    77881426.65466131    77881449.82345818
    2400          72.64160016          23.16879686  8109649407.44452286  8109649430.61331940
    2500          72.64160016          23.16879686   140863119.28438327   140863142.45318013
    2600          72.64160016          23.16879686    52327990.78055725    52328013.94935410
    2700          72.64160016          23.16879686  1031086686513.02551270  1031086686536.19433594
    2800          72.64160016          23.16879686  4433814173.66756058  4433814196.83635712
    2900          72.64160016          23.16879686   246214537.45599079   246214560.62478766
    3000          72.64160016          23.16879686  1912055055.43961048  1912055078.60840726
    3100          72.64160016          23.16879686  53371578742.35685730  53371578765.52565765
    3200          72.64160016          23.16879686  2919961709.33295631  2919961732.50175333
    3300          72.64160016          23.16879686  4311880024.48153877  4311880047.65033531
    3400          72.64160016          23.16879686  3490823062.54704762  3490823085.71584463
    3500          72.64160016          23.16879686  4506712336.94471073  4506712360.11350727
    3600          72.64160016          23.16879686   878259707.08072364   878259730.24952054
    3700          72.64160016          23.16879686   799252548.43953133   799252571.60832822
    3800          72.64160016          23.16879686  2867097256.43025732  2867097279.59905434
    3900          72.64160016          23.16879686  5834975042978.03222656  5834975043001.20117188
    4000          72.64160016          23.16879686    35989742.66084817    35989765.82964503
    4100          72.64160016          23.16879686  8258310588201914.00000000  8258310588201937.00000000
    4200          72.64160016          23.16879686  34278247778.47832870  34278247801.64712524
    4300          72.64160016          4400          72.64160016          23.16879686           0.00000000          23.16879686
    4500          72.64160016          23.16879686           0.00000000          23.16879686
    4600          72.64160016          23.16879686           0.00000000          23.16879686
    4700          72.64160016          23.16879686           0.00000000          23.16879686
    4800          72.64160016          23.16879686           0.00000000          23.16879686
    4900          72.64160016          23.16879686           0.00000000          23.16879686
    5000          72.64160016          23.16879686           0.00000000          23.16879686
    5100          72.64160016          23.16879686           0.00000000          23.16879686
    5200          72.64160016          23.16879686           0.00000000          23.16879686
    5300          72.64160016          23.16879686           0.00000000          23.16879686
    5400          72.64160016          23.16879686           0.00000000          23.16879686
    5500          72.64160016          23.16879686           0.00000000          23.16879686
    5600          72.64160016          23.16879686           0.00000000          23.16879686
    5700          72.64160016          23.16879686           0.00000000          23.16879686
    5800          72.64160016          23.16879686           0.00000000          23.16879686
    5900          72.64160016          23.16879686           0.00000000          23.16879686
    6000          72.64160016          23.16879686           0.00000000          23.16879686
    6100          72.64160016          23.16879686           0.00000000          23.16879686
    6200          72.64160016          23.16879686           0.00000000          23.16879686
    6300          72.64160016          23.16879686           0.00000000          23.16879686
    6400          72.64160016          23.16879686           0.00000000          23.16879686
    6500          72.64160016          23.16879686           0.00000000          23.16879686
    6600          72.64160016          23.16879686           0.00000000          23.16879686
    6700          72.64160016          23.16879686           0.00000000          23.16879686
    6800          72.64160016          23.16879686           0.00000000          23.16879686
    6900          72.64160016          23.16879686           0.00000000          23.16879686
    7000          72.64160016          23.16879686           0.00000000          23.16879686
    7100          72.64160016          23.16879686           0.00000000          23.16879686
    7200          72.64160016          23.16879686           0.00000000          23.16879686
    7300          72.64160016          23.16879686           0.00000000          23.16879686
    7400          72.64160016          23.16879686           0.00000000          23.16879686
    7500          72.64160016          23.16879686           0.00000000          23.16879686
    7600          72.64160016          23.16879686           0.00000000          23.16879686
    7700          72.64160016          23.16879686           0.00000000          23.16879686
    7800          72.64160016          23.16879686           0.00000000          23.16879686
    7900          72.64160016          23.16879686           0.00000000          23.16879686
    8000          72.64160016          23.16879686           0.00000000          23.16879686
    8100          72.64160016          23.16879686           0.00000000          23.16879686
    8200          72.64160016          23.16879686           0.00000000          23.16879686
    8300          72.64160016          23.16879686           0.00000000          23.16879686
    8400          72.64160016          23.16879686           0.00000000          23.16879686
    8500          72.64160016          23.16879686           0.00000000          23.16879686
    8600          72.64160016          23.16879686           0.00000000          23.16879686
    8700          72.64160016          23.16879686           0.00000000          23.16879686
    8800        72.64160016          23.16879686    26890785.33635984    26890808.50515671
    8700          72.64160016          23.16879686  6417657454.40422249  6417657477.57301903
    8800          72.64160016          23.16879686  2967045447.40392351  2967045470.57272053
